"","FIPS","State","Year","n","total_n","power"
"130",31,"Nebraska",2030,2104942,360828811,0.583363061881442
"131",32,"Nevada",2030,3496813,360828811,0.969105817883262
"132",33,"New Hampshire",2030,1369768,360828811,0.379617136504103
"133",34,"New Jersey",2030,9432224,360828811,2.61404403208811
"134",35,"New Mexico",2030,2157549,360828811,0.597942551765912
"135",36,"New York",2030,20996975,360828811,5.81909602556654
"136",37,"North Carolina",2030,11605573,360828811,3.21636539162057
"137",38,"North Dakota",2030,938167,360828811,0.260003351007356
"138",39,"Ohio",2030,11820388,360828811,3.275899163163
"139",40,"Oklahoma",2030,4393864,360828811,1.21771429166725
"140",41,"Oregon",2030,4636755,360828811,1.28502903832699
"141",42,"Pennsylvania",2030,13074888,360828811,3.62357095703203
"142",44,"Rhode Island",2030,1065779,360828811,0.295369706494973
"143",45,"South Carolina",2030,5739003,360828811,1.59050575371045
"144",46,"South Dakota",2030,995219,360828811,0.275814727000833
"145",47,"Tennessee",2030,7362867,360828811,2.04054298757202
"146",48,"Texas",2030,35176014,360828811,9.74867109489214
"147",49,"Utah",2030,3753660,360828811,1.04028832664363
"148",50,"Vermont",2030,626258,360828811,0.173560974320313
"149",51,"Virginia",2030,9546958,360828811,2.64584138210626
"150",53,"Washington",2030,8578809,360828811,2.37752882765229
"151",54,"West Virginia",2030,1817616,360828811,0.503733611227625
"152",55,"Wisconsin",2030,6009031,360828811,1.6653412412791
"153",56,"Wyoming",2030,653525,360828811,0.181117743394388
"154",1,"Alabama",2040,5128561,383082556,1.33876129823045
"155",2,"Alaska",2040,866600,383082556,0.226217557136692
"156",4,"Arizona",2040,9103179,383082556,2.37629692540738
"157",5,"Arkansas",2040,3213755,383082556,0.838919692286902
"158",6,"California",2040,48286484,383082556,12.6047201167782
"159",8,"Colorado",2040,7828749,383082556,2.04361928711784
"160",9,"Connecticut",2040,3585765,383082556,0.936029308523252
"161",10,"Delaware",2040,1181045,383082556,0.308300386301067
"162",11,"District of Columbia",2040,1107014,383082556,0.288975309019291
"163",12,"Florida",2040,28235139,383082556,7.37051023539688
"164",13,"Georgia",2040,12808892,383082556,3.34363750042432
"165",15,"Hawaii",2040,1779125,383082556,0.464423391808005
"166",16,"Idaho",2040,2087293,383082556,0.544867670769117
"167",17,"Illinois",2040,12697149,383082556,3.31446806990606
"168",18,"Indiana",2040,7129926,383082556,1.86119829481351
"169",19,"Iowa",2040,3435150,383082556,0.896712717976122
"170",20,"Kansas",2040,3129638,383082556,0.81696176215343
"171",21,"Kentucky",2040,4739798,383082556,1.23727847320722
"172",22,"Louisiana",2040,5251460,383082556,1.37084289476235
"173",23,"Maine",2040,1302889,383082556,0.340106585276099
"174",24,"Maryland",2040,7068866,383082556,1.84525917175931
"175",25,"Massachusetts",2040,7901128,383082556,2.06251312576081
"176",26,"Michigan",2040,9873234,383082556,2.57731234308669
"177",27,"Minnesota",2040,6306239,383082556,1.6461827617126
"178",28,"Mississippi",2040,3040865,383082556,0.793788428205016
"179",29,"Missouri",2040,6398634,383082556,1.67030158376619
"180",30,"Montana",2040,1236013,383082556,0.322649251614579
"181",31,"Nebraska",2040,2210599,383082556,0.577055510718687
"182",32,"Nevada",2040,3892449,383082556,1.01608620362239
"183",33,"New Hampshire",2040,1366803,383082556,0.356790717455691
"184",34,"New Jersey",2040,9556978,383082556,2.49475676986973
"185",35,"New Mexico",2040,2160402,383082556,0.563952068859016
"186",36,"New York",2040,21380610,383082556,5.58120166661935
"187",37,"North Carolina",2040,12524753,383082556,3.26946575975127
"188",38,"North Dakota",2040,1044934,383082556,0.272769924820069
"189",39,"Ohio",2040,11704452,383082556,3.05533410923571
"190",40,"Oklahoma",2040,4651753,383082556,1.21429517662506
"191",41,"Oregon",2040,4990011,383082556,1.30259415936444
"192",42,"Pennsylvania",2040,12976425,383082556,3.38737037141415
"193",44,"Rhode Island",2040,1049098,383082556,0.273856896788587
"194",45,"South Carolina",2040,6253488,383082556,1.63241262282901
"195",46,"South Dakota",2040,1076362,383082556,0.280973900570926
"196",47,"Tennessee",2040,7758137,383082556,2.02518670675258
"197",48,"Texas",2040,40698640,383082556,10.623986752349
"198",49,"Utah",2040,4279204,383082556,1.11704485964639
"199",50,"Vermont",2040,612877,383082556,0.159985619392181
"200",51,"Virginia",2040,10201530,383082556,2.66301084197632
"201",53,"Washington",2040,9478722,383082556,2.4743287971588
"202",54,"West Virginia",2040,1760989,383082556,0.45968916423331
"203",55,"Wisconsin",2040,6042354,383082556,1.57729813205068
"204",56,"Wyoming",2040,688396,383082556,0.179699124697288
"205",NA,"Alabama",1913,2279000,97499636,2.33744462389583
"206",NA,"Alabama",1920,2359000,106773917,2.20934106969214
"207",NA,"Alabama",1930,2647000,123502578,2.14327509827366
"208",NA,"Alabama",1940,2845000,132450294,2.14797560207756
"209",NA,"Alabama",1950,3058000,151870000,2.01356423256733
"210",NA,"Alabama",1960,3274000,179972000,1.81917187117996
"211",NA,"Alabama",1970,3444354,203302031,1.69420540614275
"212",NA,"Alabama",1980,3893888,226545805,1.71880825601692
